q1_deg,q2_deg,q3_deg,q4_deg
11.6428,4.4794,16.2162,-84.4613
11.6428,4.4795,16.2160,-84.4741
11.5365,4.5835,16.2235,-84.4314
11.5364,4.5837,16.2231,-84.5449
11.4280,4.6903,16.2301,-84.4511
11.4279,4.6905,16.2297,-84.5209
11.3215,4.7954,16.2359,-84.5215
11.3214,4.7956,16.2356,-84.6136
11.3214,4.9233,16.2074,-84.5351
11.3214,4.9234,16.2072,-84.5886
11.2128,5.0285,16.2130,-84.5258
11.2127,5.0288,16.2127,-84.6526
11.1061,5.1372,16.2167,-84.5517
11.1061,5.1375,16.2164,-84.6220
10.9973,5.2435,16.2209,-84.6261
10.9973,5.2437,16.2206,-84.7190
10.9973,5.3722,16.1910,-84.6399
10.9973,5.3723,16.1909,-84.6942
10.8905,5.4793,16.1938,-84.6314
10.8905,5.4795,16.1935,-84.7583
10.7815,5.5891,16.1958,-84.6569
10.7814,5.5893,16.1954,-84.7274
10.6745,5.6972,16.1971,-84.7355
10.6745,5.6974,16.1967,-84.8257
10.5654,5.8079,16.1977,-84.7437
10.5653,5.8081,16.1974,-84.8091
10.4583,5.9168,16.1977,-84.8160
10.4582,5.9170,16.1974,-84.9073
10.3489,6.0283,16.1971,-84.8250
10.3489,6.0285,16.1968,-84.8900
10.2417,6.1381,16.1958,-84.8989
10.2417,6.1383,16.1955,-84.9895
10.1322,6.2504,16.1938,-84.9077
10.1322,6.2507,16.1935,-84.9723
10.1322,6.3783,16.1616,-84.9865
10.1322,6.3784,16.1615,-84.9906
10.0248,6.4915,16.1582,-84.9560
10.0248,6.4917,16.1579,-85.0715
9.9152,6.4744,16.1878,-85.0042
9.9152,6.4745,16.1876,-85.1275
9.8077,6.5856,16.1841,-85.0285
9.8076,6.5859,16.1838,-85.0959
9.6979,6.6997,16.1795,-85.1110
9.6979,6.6999,16.1791,-85.2012
9.5902,6.8119,16.1743,-85.1206
9.5902,6.8121,16.1740,-85.1830
9.4803,6.9268,16.1684,-85.1969
9.4803,6.9270,16.1680,-85.2883
9.3725,7.0398,16.1619,-85.2072
9.3725,7.0400,16.1616,-85.2693
9.2625,7.1554,16.1546,-85.2853
9.2624,7.1557,16.1543,-85.3759
9.1545,7.2693,16.1469,-85.2953
9.1545,7.2695,16.1466,-85.3569
9.0443,7.3857,16.1383,-85.3748
9.0443,7.3859,16.1380,-85.4647
8.9362,7.3709,16.1644,-85.4099
8.9362,7.3710,16.1642,-85.5289
8.8259,7.4853,16.1557,-85.4326
8.8259,7.4855,16.1553,-85.4982
8.7177,7.6031,16.1449,-85.5222
